cohort,method,horizon,hours,rmse,persistence_rmse,relative_rmse
respiratory,categorical_rssm,5.0,20.0,1.0391631126403809,1.0946810245513916,0.9492839369041202
respiratory,categorical_rssm,6.0,24.0,1.0766172011693318,1.10100257396698,0.977851665950438
respiratory,categorical_rssm,7.0,28.0,1.145762324333191,1.141489028930664,1.0037436149574999
respiratory,categorical_rssm,8.0,32.0,1.1933700640996296,1.1437997817993164,1.043338251229891
respiratory,categorical_rssm,9.0,36.0,1.2543670733769734,1.154191493988037,1.0867928588199893
respiratory,categorical_rssm,10.0,40.0,1.2921555439631145,1.15397310256958,1.1197449412692897
respiratory,causal_transformer,1.0,4.0,0.752876341342926,0.9526532292366028,0.7902942206433651
respiratory,causal_transformer,2.0,8.0,0.8368383447329203,1.0086735486984253,0.8296424009658644
respiratory,causal_transformer,3.0,12.0,0.9824691414833069,1.061729073524475,0.925348251246375
respiratory,causal_transformer,4.0,16.0,1.1315152645111084,1.0732355117797852,1.0543028553301184
respiratory,causal_transformer,5.0,20.0,1.315237840016683,1.0946810245513916,1.2014804408943485
respiratory,causal_transformer,6.0,24.0,1.5109492142995198,1.10100257396698,1.3723394023099118
respiratory,causal_transformer,7.0,28.0,1.739510218302409,1.141489028930664,1.5238956960733696
respiratory,causal_transformer,8.0,32.0,1.9595096906026204,1.1437997817993164,1.7131579510533803
respiratory,causal_transformer,9.0,36.0,2.186975836753845,1.154191493988037,1.8948119511756796
respiratory,causal_transformer,10.0,40.0,2.400744318962097,1.15397310256958,2.080416184412185
respiratory,deterministic_grud_point,1.0,4.0,0.7405363917350769,0.9526532292366028,0.7773409767670623
respiratory,deterministic_grud_point,2.0,8.0,0.8578521609306335,1.0086735486984253,0.8504755200903117
respiratory,deterministic_grud_point,3.0,12.0,1.0120465556780498,1.061729073524475,0.9532060305351712
respiratory,deterministic_grud_point,4.0,16.0,1.1151700019836426,1.0732355117797852,1.0390729618462922
respiratory,deterministic_grud_point,5.0,20.0,1.2123472690582275,1.0946810245513916,1.1074890692976582
respiratory,deterministic_grud_point,6.0,24.0,1.2735340595245361,1.10100257396698,1.1567039802058905
respiratory,deterministic_grud_point,7.0,28.0,1.3359260559082031,1.141489028930664,1.1703363081462865
respiratory,deterministic_grud_point,8.0,32.0,1.3593460321426392,1.1437997817993164,1.1884475358128204
respiratory,deterministic_grud_point,9.0,36.0,1.393768032391866,1.154191493988037,1.2075708750685976
respiratory,deterministic_grud_point,10.0,40.0,1.4079461097717285,1.15397310256958,1.2200857252535788
respiratory,hgb_residual,1.0,4.0,0.7443804144859314,0.9526532292366028,0.7813760470663934
respiratory,hgb_residual,2.0,8.0,0.792773425579071,1.0086735486984253,0.7859563945163943
respiratory,hgb_residual,3.0,12.0,0.8647053837776184,1.061729073524475,0.8144312945177018
