cohort,method,seed,horizon_step,horizon_hours,rmse,mae,observed_cells,logged_action_recursive_rollout
sepsis,hgb_residual,3411,4,16,0.8742588112435206,0.6147665531520332,8224,True
sepsis,hgb_residual,3411,5,20,0.8483372075786811,0.6243199606801436,8329,True
sepsis,hgb_residual,3411,6,24,0.8737318458276132,0.6583513191965621,8098,True
sepsis,hgb_residual,3411,7,28,0.8947328592127421,0.6843660436981818,7527,True
sepsis,hgb_residual,3411,8,32,0.8879046830664249,0.6865736653588327,7737,True
sepsis,hgb_residual,3411,9,36,0.91932615065859,0.7123848355705819,7014,True
sepsis,hgb_residual,3411,10,40,0.9246943622165582,0.7213149837332823,6925,True
sepsis,hgb_residual,3411,11,44,0.944419781997963,0.7316863417641314,7151,True
sepsis,hgb_residual,3414,1,4,0.7596930082799774,0.5025724098932507,9058,True
sepsis,hgb_residual,3414,2,8,0.7727308451518189,0.5416187505594492,8849,True
sepsis,hgb_residual,3414,3,12,0.8258374607979763,0.5804477865215637,8494,True
sepsis,hgb_residual,3414,4,16,0.8661727761696046,0.6149006788337494,8224,True
sepsis,hgb_residual,3414,5,20,0.8425714584611824,0.6218871132511152,8329,True
sepsis,hgb_residual,3414,6,24,0.8703964745278209,0.655706340737527,8098,True
sepsis,hgb_residual,3414,7,28,0.8974758493093288,0.6836818846533694,7527,True
sepsis,hgb_residual,3414,8,32,0.8910025270935029,0.6885920599684953,7737,True
sepsis,hgb_residual,3414,9,36,0.9164987210275402,0.7110672886641245,7014,True
sepsis,hgb_residual,3414,10,40,0.9205332152620918,0.7247291096977627,6925,True
sepsis,hgb_residual,3414,11,44,0.9390500195818064,0.7342986854139821,7151,True
sepsis,grud_world_model,3408,1,4,0.7533141334752439,0.5036584730494008,9058,True
sepsis,grud_world_model,3408,2,8,0.7806808202993888,0.5445583502434403,8849,True
sepsis,grud_world_model,3408,3,12,0.8540719714728474,0.5905625964209037,8494,True
sepsis,grud_world_model,3408,4,16,0.9007033592615084,0.6270790221748032,8224,True
sepsis,grud_world_model,3408,5,20,0.8817800339501954,0.6383274916728071,8329,True
sepsis,grud_world_model,3408,6,24,0.914605524341066,0.6746747205729211,8098,True
sepsis,grud_world_model,3408,7,28,0.9410822934819104,0.7152405395436934,7527,True
sepsis,grud_world_model,3408,8,32,0.9552383903378208,0.728330315243653,7737,True
sepsis,grud_world_model,3408,9,36,0.9864193478343586,0.7630653802183869,7014,True
sepsis,grud_world_model,3408,10,40,1.0317160143181456,0.7950895287339912,6925,True
sepsis,grud_world_model,3408,11,44,1.0839528121749018,0.8284403676518768,7151,True
sepsis,grud_world_model,3411,1,4,0.7549859022780347,0.5031276174447331,9058,True
sepsis,grud_world_model,3411,2,8,0.7825909356035428,0.5479733463838793,8849,True
sepsis,grud_world_model,3411,3,12,0.856538009836267,0.5983674217373173,8494,True
sepsis,grud_world_model,3411,4,16,0.9040350837326496,0.6417420235718917,8224,True
sepsis,grud_world_model,3411,5,20,0.890889519957081,0.6559959657813426,8329,True
sepsis,grud_world_model,3411,6,24,0.9196461464084076,0.6929471100167901,8098,True
sepsis,grud_world_model,3411,7,28,0.9579530448642364,0.7395974189041483,7527,True
sepsis,grud_world_model,3411,8,32,0.9760717116157744,0.7582131471217168,7737,True
sepsis,grud_world_model,3411,9,36,1.025684708443643,0.8051513876102996,7014,True
sepsis,grud_world_model,3411,10,40,1.067716162770216,0.8305207499236237,6925,True
sepsis,grud_world_model,3411,11,44,1.123185327864001,0.8677524880137005,7151,True
sepsis,grud_world_model,3414,1,4,0.7527467162564981,0.5064008325101406,9058,True
sepsis,grud_world_model,3414,2,8,0.7853139130302969,0.5507919792046947,8849,True
sepsis,grud_world_model,3414,3,12,0.8614999782601159,0.5973056159715501,8494,True
sepsis,grud_world_model,3414,4,16,0.9141532884206038,0.6347612439626812,8224,True
sepsis,grud_world_model,3414,5,20,0.8950543662306956,0.6470187439966725,8329,True
sepsis,grud_world_model,3414,6,24,0.9322735796241448,0.6841030831405389,8098,True
sepsis,grud_world_model,3414,7,28,0.9520230629236454,0.7145083883658525,7527,True
sepsis,grud_world_model,3414,8,32,0.9659119630170736,0.7294962463557016,7737,True
sepsis,grud_world_model,3414,9,36,1.0064052556946077,0.7672547467379147,7014,True
