task,method_group,method,mean_paired_behavior_relative_return,mean_paired_standard_error,display_method,within_task_rank_percentile,evidence_role
aki,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,GRU-D + H4 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.015154959281522168,0.0027859295371974,GRU-D + H4 CEM (support + uncertainty),0.5588235294117647,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.036012959726264664,0.002886096864078967,GRU-D + H4 CEM (support + uncertainty),0.5882352941176471,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,0.03341221244209389,0.002776624546320033,GRU-D + H4 CEM (support + uncertainty),0.7352941176470589,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,0.12715028015660876,0.010858315426307533,GRU-D + H4 CEM (support),0.39705882352941174,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,0.014669293896846666,0.0028232999615121334,GRU-D + H4 CEM (support),0.5,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,0.03661780510513266,0.0029013138354303998,GRU-D + H4 CEM (support),0.6617647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,0.032408610897212,0.0027563352209862995,GRU-D + H4 CEM (support),0.6029411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,GRU-D + H8 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.013659830119674534,0.0028216108156984333,GRU-D + H8 CEM (support + uncertainty),0.3235294117647059,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.034513442347865034,0.0028159786984771336,GRU-D + H8 CEM (support + uncertainty),0.35294117647058826,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,0.02987096066239407,0.0026816063929975334,GRU-D + H8 CEM (support + uncertainty),0.38235294117647056,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,0.12687273999322154,0.010854969856984366,GRU-D + H8 CEM (support),0.27941176470588236,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,0.016007166913338502,0.0028996847944562,GRU-D + H8 CEM (support),0.9117647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,0.03471621023875033,0.0027958291489073,GRU-D + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
