task,tier,regime,estimator,denominator,clipping,support_contract,horizon,coverage_rate,spearman_rank_recovery,pairwise_order_recovery,behavior_relative_sign_recovery,false_improvement_rate,median_ess,maximum_weight_concentration,maximum_unsupported_action_mass,maximum_paired_true_return_se,coverage_gate,rank_gate,pairwise_gate,sign_gate,false_improvement_gate,ess_gate,support_gate,precision_gate,finite_gate,approved_exact_tuple
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,3,0.0769230769230769,0.6797752808988764,0.75,0.9230769230769231,0.0,298.415931576573,0.0057394781170509,0.0,0.0151291898692132,False,False,False,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,1,1.0,,,,,676.8904809061006,0.0016087735434575,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,2,1.0,,,,,424.76887721570125,0.0027895431743461,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,3,0.0,,,,,263.7702139170232,0.0048934797399871,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,1,0.3846153846153846,0.9942857142857142,0.9855072463768116,1.0,0.0,678.8264584438888,0.0029727436037869,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,2,0.4615384615384615,0.9157303370786517,0.9166666666666666,0.7692307692307693,0.0,446.178957057075,0.0046022235188148,0.0,0.0151291898692132,False,True,True,False,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,3,0.1538461538461538,0.6797752808988764,0.75,0.9230769230769231,0.0,321.1704552013839,0.0079733925133478,0.0,0.0151291898692132,False,False,False,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,1,1.0,,,,,678.8264584438888,0.0015007695695,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,2,0.0,,,,,429.40894746740383,0.0024363350677826,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,3,0.0,,,,,270.0274053439934,0.0040063560129794,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,1,0.3846153846153846,0.9942857142857142,0.9855072463768116,1.0,0.0,678.8264584438888,0.0029727436037869,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,2,0.4615384615384615,0.9157303370786517,0.9166666666666666,0.7692307692307693,0.0,446.178957057075,0.0046022235188148,0.0,0.0151291898692132,False,True,True,False,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,3,0.1538461538461538,0.6797752808988764,0.75,0.9230769230769231,0.0,321.1704552013839,0.0079733925133478,0.0,0.0151291898692132,False,False,False,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,1,1.0,,,,,678.8264584438888,0.0015007695695,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,2,0.0,,,,,429.40894746740383,0.0024363350677826,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,3,0.0,,,,,270.0274053439934,0.0040063560129794,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,1,0.9230769230769232,0.9942857142857142,0.9855072463768116,1.0,0.0,677.1767864516876,0.0035980236760165,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,2,1.0,1.0,1.0,1.0,0.0,441.145714436415,0.0057549522018564,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,3,0.9230769230769232,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,315.4035036239078,0.0068424194226553,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,1,1.0,,,,,677.1767864516876,0.0016458165379201,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,2,1.0,,,,,424.28040013794697,0.003008066886271,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,3,0.0,,,,,262.8605855554239,0.0051640453519686,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,none,masked,1,0.9230769230769232,0.9942857142857142,0.9855072463768116,1.0,0.0,677.1767864516876,0.0035980236760165,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,none,masked,2,1.0,1.0,1.0,1.0,0.0,441.145714436415,0.0057549522018564,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,none,masked,3,0.9230769230769232,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,315.4035036239078,0.0068424194226553,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,none,unrestricted_stress,1,1.0,,,,,677.1767864516876,0.0016458165379201,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,none,unrestricted_stress,2,1.0,,,,,424.28040013794697,0.003008066886271,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,crossfit_stronger,none,unrestricted_stress,3,0.0,,,,,262.8605855554239,0.0051640453519686,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,20.0,masked,1,0.9230769230769232,0.9942857142857142,0.9855072463768116,1.0,0.0,673.9160192493683,0.0036126989810233,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,20.0,masked,2,1.0,1.0,1.0,1.0,0.0,440.4844512907689,0.0049888717130185,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,20.0,masked,3,0.9230769230769232,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,307.3166478425081,0.0060547877454432,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,20.0,unrestricted_stress,1,1.0,,,,,673.9160192493683,0.0016924838289271,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,20.0,unrestricted_stress,2,1.0,,,,,417.4560862690112,0.0030873713615784,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,20.0,unrestricted_stress,3,0.0,,,,,253.6946471647696,0.0057042738033414,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,none,masked,1,0.9230769230769232,0.9942857142857142,0.9855072463768116,1.0,0.0,673.9160192493683,0.0036126989810233,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,none,masked,2,1.0,1.0,1.0,1.0,0.0,440.4844512907689,0.0049888717130185,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,none,masked,3,0.9230769230769232,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,307.3166478425081,0.0060547877454432,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,none,unrestricted_stress,1,1.0,,,,,673.9160192493683,0.0016924838289271,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,none,unrestricted_stress,2,1.0,,,,,417.4560862690112,0.0030873713615784,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,exact_behavior,none,unrestricted_stress,3,0.0,,,,,253.6946471647696,0.0057042738033414,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,20.0,masked,1,0.8461538461538461,0.9942857142857142,0.9855072463768116,1.0,0.0,676.8904809061006,0.003239211813121,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,20.0,masked,2,0.9230769230769232,1.0,1.0,1.0,0.0,439.58227155403614,0.0045170838410039,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,20.0,masked,3,0.8461538461538461,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,298.415931576573,0.0057394781170509,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,20.0,unrestricted_stress,1,1.0,,,,,676.8904809061006,0.0016087735434575,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,20.0,unrestricted_stress,2,1.0,,,,,424.76887721570125,0.0027895431743461,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,20.0,unrestricted_stress,3,1.0,,,,,263.7702139170232,0.0048934797399871,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,none,masked,1,0.8461538461538461,0.9942857142857142,0.9855072463768116,1.0,0.0,676.8904809061006,0.003239211813121,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,none,masked,2,0.9230769230769232,1.0,1.0,1.0,0.0,439.58227155403614,0.0045170838410039,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,none,masked,3,0.8461538461538461,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,298.415931576573,0.0057394781170509,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,none,unrestricted_stress,1,1.0,,,,,676.8904809061006,0.0016087735434575,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,none,unrestricted_stress,2,1.0,,,,,424.76887721570125,0.0027895431743461,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,misspecified_behavior,none,unrestricted_stress,3,1.0,,,,,263.7702139170232,0.0048934797399871,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,20.0,masked,1,0.8461538461538461,0.9942857142857142,0.9855072463768116,1.0,0.0,678.8264584438888,0.0029727436037869,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,20.0,masked,2,0.9230769230769232,1.0,1.0,1.0,0.0,446.178957057075,0.0046022235188148,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
