task,response_regime,method,method_group,seed,true_return,behavior_true_return,paired_behavior_relative_return_difference,paired_crn_difference,paired_standard_error,learned_model_predicted_return,model_exploitation_gap,unsupported_action_mass,normalized_entropy,behavior_divergence_kl,top_argmax_action_share,single_action_collapse,policy_probability_complete,rank_within_task_regime_seed,paired_difference_definition
aki_rrt,weak,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.2324015863123589,0.0891733521652559,0.1432282341471029,0.124115029296875,0.0134579582145564,0.25906323258439734,0.026661646272038403,0.0,0.9182958340544894,0.0124953068246668,0.6666666666666666,False,True,25.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.233762900576287,0.0891733521652559,0.144589548411031,0.125359306640625,0.0133671646101727,0.25906323258439734,0.02530033200811027,0.0,0.8708644692353646,0.0022232758273795,0.7083333333333334,False,True,21.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.2324015863123589,0.0891733521652559,0.1432282341471029,0.124115029296875,0.0134579582145564,0.25906323258439734,0.026661646272038403,0.0,0.9182958340544894,0.0124953068246668,0.6666666666666666,False,True,25.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
