task,response_regime,reward_variant,method,method_group,seed,true_return,exact_behavior_policy_value,paired_behavior_relative_return_difference,paired_standard_error,unsupported_action_mass,policy_probability_complete,rank_within_task_regime_reward_seed,paired_difference_definition
shock,delayed,terminal_only,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3411,0.3470116591076041,0.3565141356617738,0.0184666084208118,0.001840903232015,0.0,True,5.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,transformer_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3411,0.344924129460034,0.3565141356617738,0.0163790787732418,0.0017436711560881,0.0,True,13.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3411,0.3447635502563748,0.3565141356617738,0.0162184995695826,0.0017391942344862,0.0,True,17.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,transformer_world_model__H8_categorical_CEM__support_constrained,world_model_planner,3411,0.3446029710527155,0.3565141356617738,0.0160579203659233,0.0017642130582747,0.0,True,21.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3411,0.3446029710527155,0.3565141356617738,0.0160579203659233,0.0017642130582747,0.0,True,21.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,world_model_planner,3411,0.3470116591076041,0.3565141356617738,0.0184666084208118,0.001840903232015,0.0,True,5.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3411,0.3470116591076041,0.3565141356617738,0.0184666084208118,0.001840903232015,0.0,True,5.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,world_model_planner,3411,0.344924129460034,0.3565141356617738,0.0163790787732418,0.0017436711560881,0.0,True,13.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3411,0.3447635502563748,0.3565141356617738,0.0162184995695826,0.0017539865646563,0.0,True,16.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,world_model_planner,3411,0.3446029710527155,0.3565141356617738,0.0160579203659233,0.0017642130582747,0.0,True,21.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3411,0.3446029710527155,0.3565141356617738,0.0160579203659233,0.0017642130582747,0.0,True,21.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,world_model_planner,3411,0.3470116591076041,0.3565141356617738,0.0184666084208118,0.001840903232015,0.0,True,5.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3411,0.3470116591076041,0.3565141356617738,0.0184666084208118,0.001840903232015,0.0,True,5.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,world_model_planner,3411,0.344924129460034,0.3565141356617738,0.0163790787732418,0.0017436711560881,0.0,True,13.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3411,0.344924129460034,0.3565141356617738,0.0163790787732418,0.0017436711560881,0.0,True,13.0,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,delayed,terminal_only,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,world_model_planner,3411,0.3446029710527155,0.3565141356617738,0.0160579203659233,0.0017642130582747,0.0,True,21.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
